Bait ID,Bait Name,Bait Locus,Bait Notes,Prey Locus,Prey TAIR Symbols,Prey TAIR Description,Number of Interactions
1,TGA1,AT5G65210,,AT1G02780,emb2386,emb2386 (embryo defective 2386); structural constituent of ribosome,1
2,AGB1,AT4G34460,,AT1G02870,,unknown protein,7
3,NDL1,AT5G56750,,AT1G03680,"ATHM1, TRX-M1, ATM1",ATHM1; enzyme activator,1
4,SYP23,AT4G17730,,AT1G04270,RPS15,RPS15 (CYTOSOLIC RIBOSOMAL PROTEIN S15); structural constituent of ribosome,1
4,SYP23,AT4G17730,,AT1G04480,,60S ribosomal protein L23 (RPL23A),1
5,RGS1,AT3G26090,,AT1G05000,,tyrosine specific protein phosphatase family protein,9
4,SYP23,AT4G17730,,AT1G05500,"SYTE, ATSYTE, NTMC2TYPE2.1, NTMC2T2.",NTMC2T2.1,1
24,,AT4G26410,,AT1G05500,"SYTE, ATSYTE, NTMC2TYPE2.1, NTMC2T2.",NTMC2T2.1,1
5,RGS1,AT3G26090,,AT1G06390,"GSK1, ATGSK1, ATSK22, SK22, BIL2, AT",GSK1 (GSK3/SHAGGY-LIKE PROTEIN KINASE 1); glycogen synthase kinase 3/ kinase,1
5,RGS1,AT3G26090,,AT1G07210,,30S ribosomal protein S18 family,2
6,GPA1,AT2G26300,CA GPA1,AT1G07210,,30S ribosomal protein S18 family,2
7,RACK1C,AT3G18130,,AT1G08200,AXS2,AXS2 (UDP-D-APIOSE/UDP-D-XYLOSE SYNTHASE 2); UDP-glucuronate decarboxylase,13
5,RGS1,AT3G26090,,AT1G08360,,60S ribosomal protein L10A (RPL10aA),1
3,NDL1,AT5G56750,,AT1G08465,YAB2,YAB2 (YABBY2); transcription factor,1
8,Phosducin,AT5G14240,,AT1G08480,,unknown protein,1
2,AGB1,AT4G34460,,AT1G08820,VAP27-2,VAP27-2 (VAMP/SYNAPTOBREVIN-ASSOCIATED PROTEIN 27-2); structural molecule,1
13,PRN,AT3G59220,,AT1G08820,VAP27-2,VAP27-2 (VAMP/SYNAPTOBREVIN-ASSOCIATED PROTEIN 27-2); structural molecule,1
15,ATARD4,AT5G43850,,AT1G08820,VAP27-2,VAP27-2 (VAMP/SYNAPTOBREVIN-ASSOCIATED PROTEIN 27-2); structural molecule,1
25,pAS-Exo702B,AT1G07000,,AT1G08820,VAP27-2,VAP27-2 (VAMP/SYNAPTOBREVIN-ASSOCIATED PROTEIN 27-2); structural molecule,1
23,,AT1G05000,,AT1G09310,,unknown protein,1
2,AGB1,AT4G34460,,AT1G09850,XBCP3,XBCP3 (xylem bark cysteine peptidase 3); cysteine-type endopeptidase/ cysteine-type peptidase,2
6,GPA1,AT2G26300,CA GPA1,AT1G09995,,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; BEST Arabidopsis thaliana protein match is: helicase-related (TAIR:AT1G79890.1); Has 14 Blast hits to 14 proteins in 4 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 14; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,3
3,NDL1,AT5G56750,,AT1G10740,,unknown protein,1
9,ATARD1,AT4G14716,,AT1G10740,,unknown protein,1
10,GPA1,AT2G26300,wt GPA1,AT1G11790,ADT1,ADT1 (arogenate dehydratase 1); arogenate dehydratase/ prephenate dehydratase,1
1,TGA1,AT5G65210,,AT1G13350,,protein kinase family protein,1
9,ATARD1,AT4G14716,,AT1G14450,,unknown protein,1
5,RGS1,AT3G26090,,AT1G15430,,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1644 (InterPro:IPR012866); BEST Arabidopsis thaliana protein match is: zinc ion binding (TAIR:AT1G80220.1); Has 144 Blast hits to 135 proteins in 7 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 144; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,1
2,AGB1,AT4G34460,,AT1G15500,ATNTT2,ATNTT2; ATP:ADP antiporter,1
4,SYP23,AT4G17730,,AT1G15670,,kelch repeat-containing F-box family protein,1
5,RGS1,AT3G26090,,AT1G15820,"LHCB6, CP24",LHCB6 (LIGHT HARVESTING COMPLEX PSII SUBUNIT 6); chlorophyll binding,3
2,AGB1,AT4G34460,,AT1G16420,"ATMC8, MC8",MC8 (METACASPASE 8); cysteine-type endopeptidase,2
3,NDL1,AT5G56750,,AT1G16470,PAB1,PAB1 (PROTEASOME SUBUNIT PAB1); endopeptidase/ peptidase/ threonine-type endopeptidase,1
5,RGS1,AT3G26090,,AT1G18080,"ATARCA, RACK1A_AT",ATARCA; nucleotide binding,1
23,,AT1G05000,,AT1G18080,"ATARCA, RACK1A_AT",ATARCA; nucleotide binding,1
5,RGS1,AT3G26090,,AT1G18440,,peptidyl-tRNA hydrolase family protein,1
11,UNE16,AT4G13640,,AT1G19240,,unknown protein,1
4,SYP23,AT4G17730,,AT1G20100,,unknown protein,1
23,,AT1G05000,,AT1G20100,,unknown protein,1
24,,AT4G26410,,AT1G20100,,unknown protein,1
5,RGS1,AT3G26090,,AT1G20260,,"hydrogen ion transporting ATP synthase, rotational mechanism / hydrolase, acting on acid anhydrides, catalyzing transmembrane movement of substances / proton-transporting ATPase, rotational mechanism",1
3,NDL1,AT5G56750,,AT1G20696,"HMGB3, NFD3, NFD03",HMGB3 (HIGH MOBILITY GROUP B 3); DNA binding / chromatin binding / structural constituent of chromatin / transcription factor,1
2,AGB1,AT4G34460,,AT1G20970,,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane, vacuole; EXPRESSED IN: guard cell, cultured cell; BEST Arabidopsis thaliana protein match is: PPI1 (PROTON PUMP INTERACTOR 1); protein binding (TAIR:AT4G27500.1); Has 53409 Blast hits to 33585 proteins in 1572 species: Archae - 464; Bacteria - 7066; Metazoa - 25076; Fungi - 5173; Plants - 1740; Viruses - 257; Other Eukaryotes - 13633 (source: NCBI BLink).",1
5,RGS1,AT3G26090,,AT1G22430,,"alcohol dehydrogenase, putative",1
8,Phosducin,AT5G14240,,AT1G22570,,proton-dependent oligopeptide transport (POT) family protein,1
6,GPA1,AT2G26300,CA GPA1,AT1G22920,"CSN5A, JAB1, AJH1",CSN5A (COP9 SIGNALOSOME 5A),1
7,RACK1C,AT3G18130,,AT1G22920,"CSN5A, JAB1, AJH1",CSN5A (COP9 SIGNALOSOME 5A),1
12,Esterase-Lipase,AT1G52760,,AT1G22920,"CSN5A, JAB1, AJH1",CSN5A (COP9 SIGNALOSOME 5A),2
3,NDL1,AT5G56750,,AT1G22970,,unknown protein,1
5,RGS1,AT3G26090,,AT1G26550,,peptidyl-prolyl cis-trans isomerase PPIC-type family protein,1
2,AGB1,AT4G34460,,AT1G27530,,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Ubiquitin-conjugating enzyme/RWD-like (InterPro:IPR016135), Ubiquitin-fold modifier-conjugating enzyme 1 (InterPro:IPR014806); Has 183 Blast hits to 183 proteins in 80 species: Archae - 0; Bacteria - 0; Metazoa - 126; Fungi - 0; Plants - 21; Viruses - 0; Other Eukaryotes - 36 (source: NCBI BLink).",2
13,PRN,AT3G59220,,AT1G27530,,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Ubiquitin-conjugating enzyme/RWD-like (InterPro:IPR016135), Ubiquitin-fold modifier-conjugating enzyme 1 (InterPro:IPR014806); Has 183 Blast hits to 183 proteins in 80 species: Archae - 0; Bacteria - 0; Metazoa - 126; Fungi - 0; Plants - 21; Viruses - 0; Other Eukaryotes - 36 (source: NCBI BLink).",2
5,RGS1,AT3G26090,,AT1G27890,,"CCR4-NOT transcription complex protein, putative",2
2,AGB1,AT4G34460,,AT1G28520,"VOZ1, ATVOZ1",VOZ1 (VASCULAR PLANT ONE ZINC FINGER PROTEIN); transcription activator,4
5,RGS1,AT3G26090,,AT1G28520,"VOZ1, ATVOZ1",VOZ1 (VASCULAR PLANT ONE ZINC FINGER PROTEIN); transcription activator,1
6,GPA1,AT2G26300,CA GPA1,AT1G28520,"VOZ1, ATVOZ1",VOZ1 (VASCULAR PLANT ONE ZINC FINGER PROTEIN); transcription activator,1
13,PRN,AT3G59220,,AT1G28520,"VOZ1, ATVOZ1",VOZ1 (VASCULAR PLANT ONE ZINC FINGER PROTEIN); transcription activator,2
15,ATARD4,AT5G43850,,AT1G28520,"VOZ1, ATVOZ1",VOZ1 (VASCULAR PLANT ONE ZINC FINGER PROTEIN); transcription activator,1
24,,AT4G26410,,AT1G28520,"VOZ1, ATVOZ1",VOZ1 (VASCULAR PLANT ONE ZINC FINGER PROTEIN); transcription activator,1
5,RGS1,AT3G26090,,AT1G29920,"CAB2, AB165, LHCB1.1",CAB2 (CHLOROPHYLL A/B-BINDING PROTEIN 2); chlorophyll binding,1
1,TGA1,AT5G65210,,AT1G30230,,elongation factor 1-beta / EF-1-beta,1
4,SYP23,AT4G17730,,AT1G30230,,elongation factor 1-beta / EF-1-beta,1
14,ATARD3,AT2G26400,,AT1G30230,,elongation factor 1-beta / EF-1-beta,6
4,SYP23,AT4G17730,,AT1G30530,UGT78D1,"UGT78D1 (UDP-GLUCOSYL TRANSFERASE 78D1); UDP-glycosyltransferase/ quercetin 3-O-glucosyltransferase/ transferase, transferring glycosyl groups",2
2,AGB1,AT4G34460,,AT1G32400,TOM2A,TOM2A (TOBAMOVIRUS MULTIPLICATION 2A); protein binding,1
9,ATARD1,AT4G14716,,AT1G32640,"ATMYC2, RD22BP1, JAI1, JIN1, MYC2, ZBF",MYC2; DNA binding / transcription activator/ transcription factor,3
2,AGB1,AT4G34460,,AT1G33055,,unknown protein,1
2,AGB1,AT4G34460,,AT1G33060,ANAC014,no apical meristem (NAM) family protein,5
